product_link,status,product_name,source,image_url,redirection,affiliate_type,missing_affiliate_id
https://www.amazon.fr/dp/B06WRWZ9BH?tag=robot_aspirateur-21&linkCode=osi&th=1&psc=1&keywords=aspirateur%20robot%20ilife,available,"ZACO - Robot Aspirateur V5sPro avec Télécommande - Robots Aspirateurs Laveurs 2 en 1 Intelligents sans Fil pour Sol dur et Tapis - Nettoyeur Autonome, Navigation, pour Cheveux et Poils d’Animaux",https://www.robotaspirateur.biz/comparatif-ilife/,https://images-na.ssl-images-amazon.com/images/I/81bDHlqJJHL._AC_SL1500_.jpg,No redirections,amazon.fr,missing id
https://www.robotaspirateur.biz/go/ZACO-V85,available,"ZACO - robot aspirateur laveur V85 avec WiFi, connecté Alexa, Google et appli, et récipient XXL 750 ml - laveur de sol 2 en 1 sans fil avec base de vidange - nettoyeur pour poil d’animaux et de chien",https://www.robotaspirateur.biz/comparatif-ilife/,https://images-na.ssl-images-amazon.com/images/I/91JAi%2BuL69L._AC_SL1500_.jpg,https://www.amazon.fr/ZACO-V85-Aspirateur-d%C3%A9paisseur-automatique/dp/B081P54F55/ref=sr_1_5?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&tag=robot_aspirateur-21&keywords=zaco&qid=1575627666&sr=8-5,amazon.fr,missing id
https://robotaspirateur.biz/go/iLife-V5s-Pro,available,"ZACO - Robot Aspirateur V5sPro avec Télécommande - Robots Aspirateurs Laveurs 2 en 1 Intelligents sans Fil pour Sol dur et Tapis - Nettoyeur Autonome, Navigation, pour Cheveux et Poils d’Animaux",https://www.robotaspirateur.biz/comparatif-ilife/,https://images-na.ssl-images-amazon.com/images/I/81bDHlqJJHL._AC_SL1500_.jpg,https://www.amazon.fr/dp/B06WRWZ9BH/ref=twister_B07Z6FYTR7?_encoding=UTF8&tag=robot_aspirateur-21&keyword=v5s&psc=1,amazon.fr,missing id
https://www.amazon.fr/dp/B06X6J4KT4?tag=robot_aspirateur-21&linkCode=osi&th=1&psc=1&keywords=aspirateur%20robot%20ilife,available,"ILIFE V3s Pro Aspirateur Robot, Nettoyage automatique avec la Télécommande, Ramasse les Poils d’Animaux",https://www.robotaspirateur.biz/comparatif-ilife/,https://images-na.ssl-images-amazon.com/images/I/61vyCkoI0VL._AC_SL1000_.jpg,No redirections,amazon.fr,missing id
https://www.amazon.fr/dp/B078Q99NCZ?tag=robot_aspirateur-21&linkCode=osi&th=1&psc=1&keywords=aspirateur%20robot%20ilife,available,"ZACO V3sPro – Aspirateur robot programmable avec 4 modes de nettoyage – Aspiration de poils d'animaux et force d'aspiration puissante, convient aux sols durs – Blanc neige",https://www.robotaspirateur.biz/comparatif-ilife/,https://images-na.ssl-images-amazon.com/images/I/81JyhoUxAiL._AC_SL1500_.jpg,No redirections,amazon.fr,missing id
https://robotaspirateur.biz/go/ILIFE-A4s,available,"ZACO A4s – Aspirateur robot intelligent avec 2 modes de nettoyage – Compact, léger et silencieux – Utilisable sur toutes les surfaces, facile à manipuler – Antichute – Gris titane",https://www.robotaspirateur.biz/comparatif-ilife/,https://images-na.ssl-images-amazon.com/images/I/818asM8F5JL._AC_SL1500_.jpg,https://www.amazon.fr/Aspirateur-dautonomie-poussi%C3%A8re-Silencieux-chargement/dp/B06WLM9JQP/ref=sr_1_2?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&tag=robot_aspirateur-21&keywords=zaco+a4s&qid=1574063350&s=kitchen&sr=1-2,amazon.fr,missing id
https://www.amazon.fr/dp/B06XWTV5FX?tag=robot_aspirateur-21&linkCode=osi&th=1&psc=1&keywords=aspirateur%20robot%20ilife,available,"ILIFE V5sPro – Aspirateur robot intelligent avec 4 modes de nettoyage, détecte les poils d'animaux – Idéal pour sols durs et tapis – Auto-charge – Doré luxueux",https://www.robotaspirateur.biz/comparatif-ilife/,https://images-na.ssl-images-amazon.com/images/I/41UHCP9vA9L._AC_SX425_.jpg,No redirections,amazon.fr,missing id
https://robotaspirateur.biz/go/ILIFE-V3s-Pro,available,"ILIFE V3s Pro Aspirateur Robot, Nettoyage automatique avec la Télécommande, Ramasse les Poils d’Animaux",https://www.robotaspirateur.biz/comparatif-ilife/,https://images-na.ssl-images-amazon.com/images/I/61vyCkoI0VL._AC_SL1000_.jpg,https://www.amazon.fr/ILIFE-Aspirateur-Robot-Nouvelle-Version/dp/B06X6J4KT4/ref=sr_1_6?s=kitchen&ie=UTF8&qid=1511516210&sr=1-6&keywords=robot+aspirateur&tag=robot_aspirateur-21,amazon.fr,missing id
https://www.amazon.fr/dp/B082HLMMDP?tag=robot_aspirateur-21&linkCode=osi&th=1&psc=1&keywords=aspirateur%20robot%20proscenic,available,"Proscenic 830T Aspirateur Robot, Connecté Wi-Fi et Alexa, avec réservoir d'eau 350ML, Nettoyage Efficace sur Programmation, Aspiration Puissante Sur Tapis et Sol.2020 Nouvelle Version.",https://www.robotaspirateur.biz/proscenic-811gb/,https://images-na.ssl-images-amazon.com/images/I/61Z0gRgr4AL._AC_SL1000_.jpg,No redirections,amazon.fr,missing id
https://www.amazon.fr/dp/B086V42DNT?tag=robot_aspirateur-21&linkCode=osi&th=1&psc=1&keywords=aspirateur%20robot%20proscenic,available,"Proscenic M6 Pro Aspirateur Robot, 3 en 1 fonction de nettoyage, avec navigation laser, contrôle avec Alexa et APP, puissance d'aspiration 2600PA et nettoyage sélectif d'une zone",https://www.robotaspirateur.biz/proscenic-811gb/,https://images-na.ssl-images-amazon.com/images/I/61XYYlpabDL._AC_SL1000_.jpg,No redirections,amazon.fr,missing id
https://www.amazon.fr/dp/B07Z9YWWKD?tag=robot_aspirateur-21&linkCode=osi&th=1&psc=1&keywords=aspirateur%20robot%20proscenic,available,"Proscenic M7 PRO Aspirateur Robot, avec Laser Navigation Intelligente, Nettoyeur et Laveur 2 en 1, Connecté Wi-Fi, Contrôle avec l’Application et Alexa,N'inclut pas la poubelle intelligente",https://www.robotaspirateur.biz/proscenic-811gb/,https://images-na.ssl-images-amazon.com/images/I/610N4LAB8LL._AC_SL1000_.jpg,No redirections,amazon.fr,missing id
